ID,m/z
2950,237.11195
2955,237.14833
2957,237.14867
2959,237.15921
2960,237.16264
2961,237.16273
2963,237.18423
2964,237.18423
2965,237.1843
2966,237.18433
2968,237.1848
2970,237.18506
2971,237.18507
2976,238.03735
2982,238.09367
2983,238.10718
2984,238.10727
2985,238.10747
2986,238.11014
2988,238.1438
2994,239.01143
2995,239.03316
3002,239.09138
3003,239.0914
3004,239.09142
3006,239.09148
3007,239.10234
3008,239.10246
3009,239.10957
3010,239.1096
3011,239.13867
3013,239.14275
3015,239.14848
3016,239.14894
3018,239.1638
3019,239.16414
3021,239.16418
3022,239.16422
3029,240.10146
3030,240.10513
3034,240.13831
3035,240.15903
3036,240.17999
3037,240.18204
3044,241.02679
3048,241.06839
3049,241.09274
3050,241.09709
3051,241.10674
3052,241.10674
3056,241.14313
3057,241.14314
3058,241.14314
3059,241.15465
3061,241.17963
3063,241.22755
3067,242.08446
3068,242.08453
3070,242.09937
3072,242.11351
3075,242.12102
3076,242.13878
3080,242.15021
3081,242.15367
3082,242.17458
3083,242.21123
3087,242.98209
3091,243.08769
3094,243.09755
3096,243.10114
3097,243.1012
3098,243.1012
3099,243.10123
3100,243.11266
3101,243.11282
3104,243.12273
3106,243.13409
3107,243.13409
3108,243.15869
3116,243.99039
3118,244.09241
3119,244.09248
3121,244.09988
3122,244.09996
3123,244.10048
3126,244.11778
3127,244.11809
3129,244.15392
3132,244.15416
3133,244.15419
3134,244.15419
3135,244.15424
3136,244.16557
3137,244.16566
3138,244.19
3141,244.26324
3143,244.26334
3144,244.26337
3145,244.2634
3146,244.6244
3149,244.99814
3150,245.04749
3151,245.04752
3152,245.07454
3153,245.07628
3154,245.07642
3155,245.09167
3156,245.09209
3157,245.09216
3158,245.09503
3160,245.11662
3162,245.11667
3164,245.12045
3167,245.14912
3168,245.14922
3175,245.16045
3176,245.16048
3178,245.18546
3186,246.09476
3190,246.12334
3191,246.13318
3193,246.14481
3194,246.14485
3195,246.1449
3196,246.15164
3197,246.15166
3198,246.15167
3201,246.16971
3202,246.16972
3203,246.16998
3204,246.17
3205,246.17003
3207,246.1701
3209,246.2057
3211,246.2428
3212,246.24294
3213,247.05333
3214,247.07072
3216,247.0862
3222,247.09937
3224,247.12831
3225,247.12834
3226,247.1284
3227,247.12843
3228,247.12843
3229,247.12843
3231,247.13246
3232,247.13249
3233,247.13622
3234,247.16611
3235,247.16611
3236,247.16611
3237,247.16612
3238,247.16624
3239,247.16817
3240,247.16911
3247,248.11363
3251,248.12752
3257,248.16731
3259,248.18588
3264,249.0652
3266,249.08659
3270,249.11159
3271,249.11172
3273,249.13297
3275,249.14801
3276,249.14804
3277,249.14809
3282,249.14854
3285,249.15527
3287,249.18475
3290,249.93646
3296,250.08
3297,250.08003
3299,250.09303
3300,250.09352
3303,250.11826
3305,250.14311
3306,250.14349
3307,250.14352
3308,250.1436
3309,250.1436
3310,250.14365
3311,250.14401
3312,250.15504
3313,250.17741
3314,250.1797
3315,250.17972
3318,251.03033
3320,251.06375
3321,251.07709
3322,251.08467
3323,251.1022
3324,251.10234
3326,251.10265
3327,251.12706
3328,251.12708
3329,251.12712
3331,251.12714
3332,251.12793
3333,251.12799
3334,251.13104
3336,251.13847
3337,251.13892
3339,251.14981
3340,251.15974
3341,251.16341
3342,251.16348
3343,251.16351
3345,251.16385
3346,251.16388
3347,251.16388
3348,251.16393
3349,251.16393
3350,251.16441
3354,252.08623
3356,252.10516
3357,252.10522
3358,252.10716
3359,252.10846
3360,252.10895
3362,252.12308
3363,252.12311
3364,252.13177
3365,252.15869
3366,252.15924
3367,252.15952
3368,252.15955
3369,252.15961
3371,252.18031
3372,252.19572
3373,252.19576
3374,252.6217
3376,252.63637
3377,253.00708
3378,253.02896
3380,253.09245
3382,253.10683
3383,253.10687
3384,253.1179
3385,253.12756
3387,253.14273
3388,253.14276
3390,253.14307
3391,253.14313
3392,253.14316
3393,253.14328
3394,253.15459
3395,253.16483
3396,253.17938
3397,253.1794
3400,253.17944
3401,253.17944
3402,253.17944
3403,253.17946
3404,253.17947
3406,253.1944
3407,253.62981
3408,253.62994
3414,254.13821
3417,254.15993
3420,254.17468
3427,254.94171
3431,255.06474
3433,255.07396
3437,255.10876
3438,255.11244
3440,255.12268
3444,255.14113
3446,255.14534
3447,255.15839
3448,255.15842
3449,255.15891
3454,255.2067
3455,255.21036
3457,255.24326
3462,256.07504
3463,256.07504
3464,256.0751
3466,256.0813
3468,256.12891
3471,256.1748
3473,256.19073
3476,256.26306
3478,256.26324
3479,256.26328
3480,256.26358
3482,257.0419
3487,257.08054
3488,257.08063
3489,257.10205
3491,257.11255
3492,257.11267
3494,257.12067
3499,257.14682
3502,257.15692
3503,257.17444
3504,257.18976
3509,258.10858
3510,258.10956
3511,258.10956
3513,258.10965
3515,258.10977
3517,258.13348
3518,258.14435
3519,258.1521
3523,258.20621
3524,258.21707
3525,258.24222
3526,258.24265
3527,258.27875
3528,258.89969
3533,259.09189
3534,259.09232
3536,259.09583
3538,259.10764
3539,259.10773
3540,259.11761
3541,259.13223
3543,259.13239
3544,259.13239
3549,259.16861
3550,259.1687
3552,259.16873
3554,259.16943
3555,259.16949
3556,259.16956
3557,259.16956
3558,259.62952
3562,260.07416
3565,260.16052
3566,260.16052
3567,260.16055
3568,260.16055
3571,260.18582
3573,260.19635
3574,260.19641
3577,260.22168
3579,260.258
3581,261.00772
3583,261.03717
3586,261.0943
3588,261.11166
3590,261.11169
3591,261.11169
3592,261.11176
3593,261.11234
3594,261.12268
3596,261.12363
3597,261.14432
3598,261.14444
3599,261.14447
3603,261.14865
3604,261.18079
3606,261.18423
3607,261.18423
3608,261.18427
3609,261.18427
3610,261.18427
3611,261.1843
3612,261.18433
3613,261.18433
3614,261.18472
3615,261.18472
3616,261.18475
3617,261.18527
3621,262.01309
3622,262.03812
3623,262.04907
3624,262.06836
3625,262.10339
3627,262.11853
3628,262.12857
3629,262.12869
3632,262.14706
3633,262.14713
3634,262.14713
3635,262.14719
3636,262.14722
3637,262.16339
3639,262.16522
3640,262.2012
3641,262.23737
3642,262.2374
3643,262.25247
3646,263.08704
3647,263.08844
3648,263.09561
3651,263.12497
3652,263.12747
3653,263.12756
3654,263.12784
3655,263.12784
3656,263.12787
3657,263.12787
3658,263.12787
3659,263.1279
3660,263.12799
3662,263.13864
3663,263.13904
3664,263.13907
3665,263.14587
3667,263.16385
3668,263.16388
3669,263.16388
3670,263.16431
3671,263.16431
3672,263.17551
3675,263.20041
3676,263.22101
3683,264.13538
3684,264.1358
3685,264.1622
3686,264.16223
3690,264.26868
3695,265.06012
3696,265.07932
3697,265.09683
3703,265.10727
3704,265.11145
3707,265.14301
3708,265.14301
3709,265.1431
3711,265.14359
3713,265.15424
3718,265.17953
3726,266.01089
3727,266.07458
3728,266.07468
3729,266.08728
3731,266.10175
3733,266.12445
3734,266.13843
3738,266.17227
3739,266.17484
3740,266.17487
3741,266.18585
3746,267.04263
3750,267.07379
3751,267.07584
3753,267.08627
3754,267.10071
3755,267.10904
3757,267.12241
3758,267.12244
3761,267.13385
3764,267.15863
3765,267.15866
3766,267.15869
3767,267.15872
3773,267.9791
3777,268.10342
3778,268.10385
3779,268.10397
3781,268.11789
3784,268.13242
3785,268.13852
3786,268.15427
3787,268.1543
3790,268.16565
3791,268.19077
3794,269.08752
3795,269.08804
3796,269.11319
3798,269.12363
3800,269.1246
3801,269.1376
3803,269.13766
3804,269.13766
